Cas_Nesrece,PRVR_Vreme,PRSP_Promet,PRPV_Povrsje,stevilka_odseka,mesec,dan,dan_v_tednu
19.0,O,N,SU,1196,1,22d,2
6.0,J,N,MO,631,1,17d,4
15.0,D,N,MO,3,1,19d,6
9.0,O,R,SU,114,1,13d,0
13.0,J,N,SU,64,1,22d,2
19.0,O,G,SU,586,1,21d,1
20.0,O,N,MO,32,1,20d,0
22.0,O,N,SU,1334,1,17d,4
11.0,J,N,SU,1310,1,22d,2
9.0,O,E,MO,200,1,17d,4
17.0,O,N,SU,99,1,22d,2
10.0,O,N,SU,1259,1,23d,3
9.0,O,N,MO,726,1,23d,3
11.0,N,N,OS,314,1,21d,1
13.0,D,N,MO,235,1,17d,4
18.0,D,N,MO,95,1,20d,0
12.0,O,N,MO,39,1,17d,4
16.0,J,N,SU,176,1,7d,1
3.0,O,R,SU,467,1,16d,3
6.0,D,N,MO,32,1,14d,1
5.0,O,N,MO,1350,1,23d,3
13.0,J,R,SU,3,1,12d,6
10.0,O,N,MO,211,1,23d,3
18.0,O,R,SP,16,1,7d,1
6.0,N,R,MO,42,1,18d,5
17.0,J,R,SU,1300,1,22d,2
12.0,O,N,SU,1276,1,21d,1
21.0,O,N,MO,12,1,20d,0
7.0,D,G,MO,1014,1,17d,4
12.0,O,N,MO,3,1,23d,3
23.0,J,N,SU,671,1,18d,5
19.0,O,R,MO,1058,1,23d,3
9.0,O,E,SU,37,1,23d,3
7.0,O,R,MO,13,1,11d,5
21.0,D,N,MO,245,1,22d,2
13.0,J,R,SU,6,1,23d,3
15.0,O,N,SU,1321,1,22d,2
7.0,O,G,SU,5,1,22d,2
8.0,O,R,SU,54,1,23d,3
16.0,O,G,SU,47,1,20d,0
11.0,J,E,SU,3,1,10d,4
21.0,O,N,SU,21,1,23d,3
14.0,J,N,SU,25,1,17d,4
8.0,O,N,SU,19,1,22d,2
15.0,O,G,SU,44,1,23d,3
